home_id,day,hour,slot_in_day,is_weekend,occupancy,occupancy_name,outdoor_temp_c,indoor_temp_c,humidity_pct,price_inr_kwh,price_period,total_power_kw,slot_cost_inr,power_hvac_kw,power_washer_kw,power_dryer_kw,power_dishwasher_kw,power_ev_charger_kw,power_lighting_kw,power_water_heater_kw,timestamp
43,0,0,0,0,2,Sleeping,23.25,23.96,64.28,2.0,off_peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01 00:00:00
43,0,0,1,0,2,Sleeping,23.01,23.91,59.94,2.0,off_peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01 00:15:00
43,0,0,2,0,0,Home,24.71,23.95,61.77,2.0,off_peak,0.3,0.15,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2025-01-01 00:30:00
43,0,0,3,0,0,Home,21.23,23.82,62.02,2.0,off_peak,3.8,1.9,3.5,0.0,0.0,0.0,0.0,0.3,0.0,2025-01-01 00:45:00
43,0,1,4,0,0,Home,21.2,23.69,67.26,2.0,off_peak,3.8,1.9,3.5,0.0,0.0,0.0,0.0,0.3,0.0,2025-01-01 01:00:00
43,0,1,5,0,2,Sleeping,23.25,23.67,63.64,2.0,off_peak,3.8,1.9,3.5,0.0,0.0,0.0,0.0,0.3,0.0,2025-01-01 01:15:00
43,0,1,6,0,0,Home,20.0,23.48,66.46,2.0,off_peak,10.8,5.4,3.5,0.0,0.0,0.0,7.0,0.3,0.0,2025-01-01 01:30:00
43,0,1,7,0,2,Sleeping,21.89,23.4,68.96,2.0,off_peak,10.8,5.4,3.5,0.0,0.0,0.0,7.0,0.3,0.0,2025-01-01 01:45:00
43,0,2,8,0,2,Sleeping,23.08,23.39,62.28,2.0,off_peak,10.8,5.4,3.5,0.0,0.0,0.0,7.0,0.3,0.0,2025-01-01 02:00:00
43,0,2,9,0,2,Sleeping,23.07,23.37,65.63,2.0,off_peak,10.8,5.4,3.5,0.0,0.0,0.0,7.0,0.3,0.0,2025-01-01 02:15:00
43,0,2,10,0,2,Sleeping,20.9,23.25,66.22,2.0,off_peak,10.8,5.4,3.5,0.0,0.0,0.0,7.0,0.3,0.0,2025-01-01 02:30:00
